2018-19 SAT Performance Report - All Students,,,,,
School Name,School Code,Tests Taken,Reading / Writing,Writing,Math
Dennis-Yarmouth - Dennis-Yarmouth Regional High,06450505,     222,527,,511
Dighton-Rehoboth - Dighton-Rehoboth Regional High School,06500505,     183,549,,539
Douglas - Douglas High School,00770505,      97,555,,529
Dover-Sherborn - Dover-Sherborn Regional High,06550505,     167,625,,629
Dracut - Dracut Senior High,00790505,     197,545,,559
Dudley-Charlton Reg - Shepherd Hill Regional High,06580505,     260,556,,564
Duxbury - Duxbury High,00820505,     351,585,,573
East Bridgewater - East Bridgewater JR./SR. High School,00830505,     159,539,,517
East Longmeadow - East Longmeadow High,00870505,     212,559,,564
Easthampton - Easthampton High,00860505,      89,536,,514
Easton - Oliver Ames High,00880505,     348,572,,572
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District) - Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520505,     148,440,,441
Essex North Shore Agricultural and Technical School District - Essex North Shore Agricultural and Technical School,08170505,     363,526,,501
Everett - Devens School,00930030,       2,,,
Everett - Everett High,00930505,     418,494,,492
Excel Academy Charter (District) - Excel Academy Charter School,04100205,     170,500,,528
Fairhaven - Fairhaven High,00940505,     143,553,,572
Fall River - B M C Durfee High,00950505,     474,470,,462
Fall River - Resiliency Preparatory Academy,00950525,       1,,,
Falmouth - Falmouth High,00960505,     232,567,,555
Fitchburg - Fitchburg High,00970505,     320,480,,475
Fitchburg - Goodrich Academy,00970510,       3,,,
Four Rivers Charter Public (District) - Four Rivers Charter Public School,04130505,      34,598,,562
Foxborough - Foxborough High,00990505,     262,559,,568
Foxborough Regional Charter (District) - Foxborough Regional Charter School,04460550,      94,549,,518
Framingham - Framingham High School,01000515,     537,547,,574
Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,04780505,      60,615,,567
Franklin - Franklin High,01010505,     597,574,,571
Franklin County Regional Vocational Technical - Franklin County Technical,08180605,       9,,,
Freetown-Lakeville - Apponequet Regional High,06650505,     200,557,,567
Frontier - Frontier Regional,06700505,      93,558,,566
Gardner - Gardner Academy for Learning and Technology,01030515,       1,,,
Gardner - Gardner High,01030505,     119,525,,507
Gateway - Gateway Regional High,06720505,      44,553,,531
Georgetown - Georgetown High School,01050505,     134,578,,575
Gill-Montague - Turners Fall High,06740505,      39,515,,527
Global Learning Charter Public (District) - Global Learning Charter Public School,04960305,      34,514,,515
Gloucester - Gloucester High,01070505,     159,543,,544
Grafton - Grafton High School,01100505,     225,572,,581
Granby - Granby Jr Sr High School,01110505,      33,543,,542
Greater Fall River Regional Vocational Technical - Diman Regional Vocational Technical High,08210605,     139,508,,503
Greater Lawrence Regional Vocational Technical - Gr Lawrence Regional Vocational Technical,08230605,     216,447,,470
Greater Lowell Regional Vocational Technical - Gr Lowell Regional Vocational Technical,08280605,     199,500,,507
Greater New Bedford Regional Vocational Technical - Gr New Bedford Vocational Technical,08250605,     254,513,,502
Greenfield - Greenfield High,01140505,      54,567,,564
Greenfield Commonwealth Virtual District - Greenfield Commonwealth Virtual School,39010900,      13,490,,476
Groton-Dunstable - Groton Dunstable Regional,06730505,     232,590,,610
Hadley - Hopkins Academy,01170505,      29,567,,554
Hamilton-Wenham - Hamilton-Wenham Regional High,06750505,     177,600,,592
Hampden Charter School of Science East (District) - Hampden Charter School of Science East,04990305,      58,521,,556
Hampden-Wilbraham - Minnechaug Regional High,06800505,     314,564,,574
Hampshire - Hampshire Regional High,06830505,      92,587,,577
Hanover - Hanover High,01220505,     265,559,,547
Harvard - Bromfield,01250505,     119,614,,601
Hatfield - Smith Academy,01270505,      32,576,,545
Haverhill - Haverhill Alternative School,01280033,       1,,,
Haverhill - Haverhill High,01280505,     327,541,,534
Hingham - Hingham High,01310505,     366,603,,600
Holbrook - Holbrook Middle High School,01330505,      52,493,,501
Holliston - Holliston High,01360505,     230,594,,598
Holyoke - Holyoke High,01370505,     188,492,,481
Hopedale - Hopedale Jr Sr High,01380505,      68,580,,558
Hopkinton - Hopkinton High,01390505,     309,605,,620
Hudson - Hudson High,01410505,     210,570,,553
Hull - Hull High,01420505,      79,560,,549
Innovation Academy Charter (District) - Innovation Academy Charter School,04350305,     108,556,,549
Ipswich - Ipswich High,01440505,     161,594,,575
KIPP Academy Lynn Charter (District) - KIPP Academy Lynn Charter School,04290010,      61,542,,558
King Philip - King Philip Regional High,06900505,     428,572,,560
Lawrence - High School Learning Center,01490536,       1,,,
Lawrence - Lawrence High School,01490515,     472,474,,486
Lee - Lee Middle/High School,01500505,      38,575,,572
Leicester - Leicester High,01510505,     117,535,,519
Lenox - Lenox Memorial High,01520505,      59,594,,578
Leominster - Center For Technical Education Innovation,01530605,      74,532,,542
Leominster - Leominster Center for Excellence,01530515,       2,,,
Leominster - Leominster High School,01530505,     257,528,,547
Lexington - Lexington High,01550505,     625,649,,676
Lincoln-Sudbury - Lincoln-Sudbury Regional High,06950505,     354,613,,632
Littleton - Littleton High School,01580505,     138,588,,587
Longmeadow - Longmeadow High,01590505,     268,606,,613
