2019-20 SAT Performance Report - All Students,,,,,
School Name,School Code,Tests Taken,Reading / Writing,Writing,Math
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,      71,520,,494
Abington - Abington High,00010505,      66,533,,539
Acton-Boxborough - Acton-Boxborough Regional High,06000505,     176,657,,688
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,     106,625,,667
Agawam - Agawam High,00050505,      81,557,,560
Amesbury - Amesbury High,00070505,      80,572,,574
Amherst-Pelham - Amherst Regional High,06050505,     129,617,,618
Andover - Andover High,00090505,     397,605,,625
Arlington - Arlington High,00100505,     159,610,,608
Ashburnham-Westminster - Oakmont Regional High School,06100505,      70,567,,564
Ashland - Ashland High,00140505,      96,570,,607
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,      47,506,,507
Athol-Royalston - Athol High,06150505,      26,507,,491
Atlantis Charter (District) - Atlantis Charter School,04910550,      37,504,,499
Attleboro - Attleboro High,00160505,     211,549,,542
Auburn - Auburn Senior High,00170505,      92,564,,547
Avon - Avon Middle High School,00180510,      32,519,,510
Ayer Shirley School District - Ayer Shirley Regional High School,06160505,      56,560,,552
Barnstable - Barnstable High,00200505,     204,557,,551
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,      27,437,,447
Bedford - Bedford High,00230505,      85,609,,617
Belchertown - Belchertown High,00240505,      73,567,,562
Bellingham - Bellingham High School,00250505,      73,544,,540
Bellingham - Keough Memorial Academy,00250510,       1,,,
Belmont - Belmont High,00260505,     241,622,,641
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,      11,585,,586
Berkshire Hills - Monument Mt Regional High,06180505,      45,579,,556
Berlin-Boylston - Tahanto Regional High,06200505,      33,576,,588
Beverly - Beverly High,00300505,     143,575,,568
Billerica - Billerica Memorial High School,00310505,     205,555,,569
Blackstone Valley Regional Vocational Technical - Blackstone Valley,08050605,     153,578,,564
Blackstone-Millville - Blackstone Millville RHS,06220505,      34,544,,541
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,08060605,      61,502,,480
Boston - Another Course To College,00350541,      31,469,,457
Boston - Boston Adult Academy,00350548,       2,,,
Boston - Boston Arts Academy,00350546,      67,464,,468
Boston - Boston Collaborative High School,00350755,       2,,,
Boston - Boston Community Leadership Academy,00350558,      60,450,,474
Boston - Boston International High School,00350507,      18,412,,448
Boston - Boston Latin,00350560,     310,655,,671
Boston - Boston Latin Academy,00350545,     209,576,,602
Boston - Brighton High,00350505,      47,435,,455
Boston - Charlestown High,00350515,      74,420,,461
Boston - Community Academy of Science and Health,00350581,      30,467,,467
Boston - Dearborn,00350074,      20,433,,427
Boston - Dr. William Henderson Upper,00350426,      55,412,,417
Boston - East Boston High,00350530,     107,467,,470
Boston - Excel High School,00350522,      41,451,,475
Boston - Fenway High School,00350540,      44,467,,458
Boston - Greater Egleston Community High School,00350543,       4,,,
Boston - Jeremiah E Burke High,00350525,      79,400,,424
Boston - Lyon Upper 9-12,00350655,      18,456,,454
Boston - Madison Park High,00350537,      41,428,,432
Boston - Margarita Muniz Academy,00350549,      20,428,,435
Boston - New Mission High School,00350542,      61,463,,478
Boston - O'Bryant School Math/Science,00350575,     174,540,,580
Boston - Quincy Upper School,00350565,      33,483,,474
Boston - Snowden International School at Copley,00350690,      46,465,,453
Boston - TechBoston Academy,00350657,      66,438,,425
Boston - The English High,00350535,      49,437,,418
Boston - Urban Science Academy,00350579,      14,461,,469
Boston - West Roxbury Academy,00350658,      11,428,,441
Boston Collegiate Charter (District) - Boston Collegiate Charter School,04490305,      27,534,,547
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,04240505,      18,497,,495
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,04110305,      23,457,,454
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,04160305,      73,476,,506
Bourne - Bourne High School,00360505,     114,534,,519
Braintree - Braintree High,00400505,     249,569,,592
Bridgewater-Raynham - Bridgewater-Raynham Regional,06250505,     169,556,,564
Bristol County Agricultural - Bristol County Agricultural High,09100705,      25,521,,542
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,08100605,      88,521,,508
Brockton - Brockton High,00440505,     355,490,,479
Brockton - Edison Academy,00440520,       1,,,
Brooke Charter School (District) - Brooke Charter School,04280305,       6,,,
Brookline - Brookline High,00460505,     231,606,,624
Burlington - Burlington High,00480505,     126,560,,556
Cambridge - Cambridge Rindge and Latin,00490506,     324,562,,560
Canton - Canton High,00500505,     132,571,,572
Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical,08150605,      25,486,,481
Carver - Carver Middle/High School,00520405,      46,550,,555
Central Berkshire - Wahconah Regional High,06350505,      33,513,,530
Chelmsford - Chelmsford High,00560505,     216,583,,599
Chelsea - Chelsea High,00570505,      87,476,,466
Chicopee - Chicopee Comprehensive High School,00610510,     107,543,,548
Chicopee - Chicopee High,00610505,      65,534,,528
City on a Hill Charter Public School Circuit Street (District) - City on a Hill Charter Public School Circuit Street,04370505,      22,473,,487
City on a Hill Charter Public School Dudley Square (District) - City on a Hill Charter Public School Dudley Square,35040505,      33,419,,457
Clinton - Clinton Senior High,00640505,      43,513,,489
Codman Academy Charter Public (District) - Codman Academy Charter Public School,04380505,      24,431,,469
Cohasset - Cohasset High School,00650505,      97,594,,584
Community Charter School of Cambridge (District) - Community Charter School of Cambridge,04360305,      16,539,,546
Concord-Carlisle - Concord Carlisle High,06400505,     132,633,,647
Danvers - Danvers High,00710505,     108,556,,550
Dartmouth - Dartmouth High,00720505,     145,558,,554
Dedham - Dedham High,00730505,     111,536,,549
Dennis-Yarmouth - Dennis-Yarmouth Regional High,06450505,     103,531,,511
Dighton-Rehoboth - Dighton-Rehoboth Regional High School,06500505,      79,556,,540
Douglas - Douglas High School,00770505,      31,555,,517
Dover-Sherborn - Dover-Sherborn Regional High,06550505,      90,634,,651
Dracut - Dracut Senior High,00790505,      79,540,,545
Dudley-Charlton Reg - Shepherd Hill Regional High,06580505,     117,546,,547
Duxbury - Duxbury High,00820505,     229,586,,578
East Bridgewater - East Bridgewater JR./SR. High School,00830505,      86,533,,514
East Longmeadow - East Longmeadow High,00870505,      87,561,,560
Easthampton - Easthampton High,00860505,      46,552,,528
Easton - Oliver Ames High,00880505,     150,562,,552
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District) - Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520505,      56,439,,430
Essex North Shore Agricultural and Technical School District - Essex North Shore Agricultural and Technical School,08170505,     166,533,,509
Everett - Everett High,00930505,     194,506,,493
Excel Academy Charter (District) - Excel Academy Charter School,04100205,     169,480,,503
Fairhaven - Fairhaven High,00940505,      82,540,,562
Fall River - B M C Durfee High,00950505,      69,543,,526
Falmouth - Falmouth High,00960505,     116,565,,554
Fitchburg - Fitchburg High,00970505,     221,466,,460
Fitchburg - Goodrich Academy,00970510,       1,,,
Four Rivers Charter Public (District) - Four Rivers Charter Public School,04130505,      15,625,,593
Foxborough - Foxborough High,00990505,     147,566,,579
Foxborough Regional Charter (District) - Foxborough Regional Charter School,04460550,      56,569,,543
Framingham - Framingham High School,01000515,     219,564,,589
Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,04780505,      25,619,,572
Franklin - Franklin High,01010505,     289,576,,572
Franklin County Regional Vocational Technical - Franklin County Technical,08180605,       7,,,
Freetown-Lakeville - Apponequet Regional High,06650505,      61,555,,575
Frontier - Frontier Regional,06700505,      52,567,,570
Gardner - Gardner Academy for Learning and Technology,01030515,       7,,,
Gardner - Gardner High,01030505,     106,491,,470
Gateway - Gateway Regional High,06720505,      19,539,,523
Georgetown - Georgetown High School,01050505,      71,580,,570
Gill-Montague - Turners Fall High,06740505,       8,,,
Global Learning Charter Public (District) - Global Learning Charter Public School,04960305,       9,,,
Gloucester - Gloucester High,01070505,      82,544,,553
Grafton - Grafton High School,01100505,     106,570,,574
Granby - Granby Jr Sr High School,01110505,      12,528,,543
Greater Fall River Regional Vocational Technical - Diman Regional Vocational Technical High,08210605,      87,509,,498
Greater Lawrence Regional Vocational Technical - Gr Lawrence Regional Vocational Technical,08230605,      88,461,,471
Greater Lowell Regional Vocational Technical - Gr Lowell Regional Vocational Technical,08280605,      80,493,,483
Greater New Bedford Regional Vocational Technical - Gr New Bedford Vocational Technical,08250605,     178,507,,494
Greenfield - Greenfield High,01140505,      33,541,,557
Greenfield Commonwealth Virtual District - Greenfield Commonwealth Virtual School,39010900,      11,491,,485
Groton-Dunstable - Groton Dunstable Regional,06730505,     114,596,,623
Hadley - Hopkins Academy,01170505,      18,584,,595
Hamilton-Wenham - Hamilton-Wenham Regional High,06750505,      98,594,,591
Hampden Charter School of Science East (District) - Hampden Charter School of Science East,04990305,      16,590,,607
Hampden-Wilbraham - Minnechaug Regional High,06800505,      86,549,,558
Hampshire - Hampshire Regional High,06830505,      45,587,,576
Hanover - Hanover High,01220505,     150,568,,561
Harvard - Bromfield,01250505,      49,628,,626
Hatfield - Smith Academy,01270505,      16,616,,582
Haverhill - Haverhill High,01280505,     168,543,,540
Hingham - Hingham High,01310505,     170,597,,583
Holbrook - Holbrook Middle High School,01330505,      34,513,,499
Holliston - Holliston High,01360505,     120,585,,589
Holyoke - Holyoke High,01370505,      73,490,,464
Hoosac Valley Regional - Hoosac Valley High School,06030505,      21,495,,504
Hopedale - Hopedale Jr Sr High,01380505,      62,574,,556
Hopkinton - Hopkinton High,01390505,     116,596,,624
Hudson - Hudson High,01410505,      97,546,,545
Hull - Hull High,01420505,      41,550,,564
Innovation Academy Charter (District) - Innovation Academy Charter School,04350305,      43,549,,529
Ipswich - Ipswich High,01440505,      72,586,,573
KIPP Academy Lynn Charter (District) - KIPP Academy Lynn Charter School,04290010,      26,492,,514
King Philip - King Philip Regional High,06900505,     270,579,,565
Lawrence - Lawrence High School,01490515,     237,469,,477
Lee - Lee Middle/High School,01500505,      24,541,,540
Leicester - Leicester High,01510505,      44,551,,519
Lenox - Lenox Memorial High,01520505,      23,605,,601
Leominster - Center For Technical Education Innovation,01530605,      41,525,,532
Leominster - Leominster Center for Excellence,01530515,       1,,,
Leominster - Leominster High School,01530505,     160,528,,536
Lexington - Lexington High,01550505,     339,645,,684
