2019-20 SAT Performance Report - All Students,,,,,
School Name,School Code,Tests Taken,Reading / Writing,Writing,Math
Lincoln-Sudbury - Lincoln-Sudbury Regional High,06950505,     221,615,,628
Littleton - Littleton High School,01580505,      49,626,,620
Longmeadow - Longmeadow High,01590505,     123,582,,590
Lowell - Lowell High,01600505,     313,522,,533
Lowell - The Career Academy,01600515,       1,,,
Ludlow - Ludlow Senior High,01610505,      66,547,,561
Lunenburg - Lunenburg High,01620505,      61,562,,570
Lynn - Classical High,01630505,     143,511,,514
Lynn - Lynn English High,01630510,     136,510,,503
Lynn - Lynn Vocational Technical Institute,01630605,      58,473,,463
Lynnfield - Lynnfield High,01640505,      87,563,,566
MATCH Charter Public School (District) - MATCH Charter Public School,04690505,      33,470,,521
Ma Academy for Math and Science - Ma Academy for Math and Science School,04680505,      24,699,,770
Malden - Malden High,01650505,     251,511,,549
Manchester Essex Regional - Manchester Essex Regional High School,06980510,      70,613,,601
Mansfield - Mansfield High,01670505,     165,581,,590
Marblehead - Marblehead High,01680505,     173,593,,592
Marlborough - Marlborough High,01700505,     151,522,,518
Marshfield - Marshfield High,01710505,     197,562,,564
Martha's Vineyard - Martha's Vineyard Regional High,07000505,     126,576,,561
Martha's Vineyard Charter (District) - Martha's Vineyard Charter School,04660550,       3,,,
Masconomet - Masconomet Regional High School,07050505,     149,584,,596
Mashpee - Mashpee High,01720505,     108,541,,529
Maynard - Maynard High,01740505,      46,565,,542
Medfield - Medfield Senior High,01750505,     118,605,,616
Medford - Medford High,01760505,     136,548,,543
Medway - Medway High,01770505,     111,568,,575
Melrose - Melrose High,01780505,     174,578,,558
Mendon-Upton - Nipmuc Regional High,07100510,      94,571,,557
Methuen - Methuen High,01810505,     194,517,,520
Middleborough - Middleborough High,01820505,      71,572,,553
Milford - Milford High,01850505,     140,554,,548
Millbury - Millbury Junior/Senior High,01860505,      60,539,,545
Millis - Millis High School,01870505,      57,555,,533
Milton - Milton High,01890505,     204,567,,579
Minuteman Regional Vocational Technical - Minuteman Regional High,08300605,      25,546,,529
Mohawk Trail - Mohawk Trail Regional School,07170505,      20,536,,528
Monomoy Regional School District - Monomoy Regional High School,07120515,      68,573,,558
Monson - Monson High School,01910505,      21,533,,513
Montachusett Regional Vocational Technical - Montachusett Regional Vocational Technical,08320605,     100,535,,522
Mount Greylock - Mt Greylock Regional High,07150505,      31,599,,590
Mystic Valley Regional Charter (District) - Mystic Valley Regional Charter School,04700105,      56,586,,586
Nantucket - Nantucket High,01970505,     109,549,,526
Narragansett - Narragansett Regional High,07200505,      18,523,,548
Nashoba - Nashoba Regional,07250505,     114,594,,608
Nashoba Valley Regional Vocational Technical - Nashoba Valley Technical High School,08520605,      39,517,,497
Natick - Natick High,01980505,     250,590,,597
Nauset - Nauset Regional High,06600505,     115,585,,561
Needham - Needham High,01990505,     208,608,,619
New Bedford - New Bedford High,02010505,     154,495,,477
New Bedford - Whaling City Junior/Senior High School,02010515,       2,,,
Newburyport - Newburyport High,02040505,      96,575,,585
Newton - Newton North High,02070505,     276,627,,640
Newton - Newton South High,02070510,     275,617,,645
Norfolk County Agricultural - Norfolk County Agricultural,09150705,      34,533,,505
North Adams - Drury High,02090505,      38,533,,493
North Andover - North Andover High,02110505,     219,572,,575
North Attleborough - North Attleboro High,02120505,     164,571,,567
North Brookfield - North Brookfield High,02150505,      16,553,,511
North Middlesex - North Middlesex Regional,07350505,      82,555,,532
North Reading - North Reading High,02170505,     112,562,,557
Northampton - Northampton High,02100505,     139,608,,602
Northampton-Smith Vocational Agricultural - Smith Vocational and Agricultural High,04060705,      16,508,,498
Northboro-Southboro - Algonquin Regional High,07300505,     192,595,,606
Northbridge - Northbridge High,02140505,      45,537,,517
Northeast Metropolitan Regional Vocational Technical - Northeast Metro Regional Vocational,08530605,      79,493,,462
Northern Berkshire Regional Vocational Technical - Charles McCann Vocational Technical,08510605,      30,503,,481
Norton - Norton High,02180505,      96,550,,549
Norwell - Norwell High,02190505,     126,602,,585
Norwood - Norwood High,02200505,     102,546,,567
Old Colony Regional Vocational Technical - Old Colony Regional Vocational Technical,08550605,      44,529,,522
Old Rochester - Old Rochester Regional High,07400505,     151,572,,580
Oxford - Oxford High,02260505,      38,523,,506
Palmer - Palmer High,02270505,      28,546,,515
Pathfinder Regional Vocational Technical - Pathfinder Vocational Technical,08600605,      16,460,,453
Paulo Freire Social Justice Charter School (District) - Paulo Freire Social Justice Charter School,35010505,      14,491,,450
Peabody - Peabody Veterans Memorial High,02290510,     165,518,,526
Pembroke - Pembroke High School,02310505,     113,553,,558
Pentucket - Pentucket Regional Sr High,07450505,      97,553,,559
Phoenix Academy Public Charter High School Springfield (District) - Phoenix Academy Public Charter High School Springfield,35080505,       3,,,
Phoenix Charter Academy (District) - Phoenix Charter Academy,04930505,       2,,,
Pioneer Charter School of Science (District) - Pioneer Charter School of Science,04940205,      31,559,,604
Pioneer Charter School of Science II (PCSS-II) (District) - Pioneer Charter School of Science II (PCSS-II),35060505,      35,562,,625
Pioneer Valley - Pioneer Valley Regional,07500505,      11,605,,573
Pioneer Valley Chinese Immersion Charter (District) - Pioneer Valley Chinese Immersion Charter School,04970205,       5,,,
Pioneer Valley Performing Arts Charter Public (District) - Pioneer Valley Performing Arts Charter Public School,04790505,      24,564,,512
Pittsfield - Pittsfield High,02360505,      66,552,,535
Pittsfield - Taconic High,02360510,      58,530,,513
Plymouth - Plymouth North High,02390505,      82,548,,545
Plymouth - Plymouth South High,02390515,      94,545,,542
Prospect Hill Academy Charter (District) - Prospect Hill Academy Charter School,04870550,      44,514,,518
Quabbin - Quabbin Regional High School,07530505,      64,552,,545
Quaboag Regional - Quaboag Regional High,07780505,      21,558,,523
Quincy - North Quincy High,02430510,     207,548,,587
Quincy - Quincy High,02430505,     194,536,,537
Ralph C Mahar - Ralph C Mahar Regional,07550505,      17,530,,532
Randolph - Randolph High,02440505,      71,509,,513
Reading - Reading Memorial High,02460505,     177,572,,583
Revere - Revere High,02480505,     164,534,,544
Rising Tide Charter Public (District) - Rising Tide Charter Public School,04830305,      27,578,,549
Rockland - Rockland Senior High,02510505,      73,531,,530
Rockport - Rockport High,02520510,      45,571,,550
Roxbury Preparatory Charter (District) - Roxbury Preparatory Charter School,04840505,     130,478,,498
Sabis International Charter (District) - Sabis International Charter School,04410505,      77,528,,519
Salem - Salem High,02580505,      49,546,,533
Salem Academy Charter (District) - Salem Academy Charter School,04850485,      63,540,,527
Sandwich - Sandwich High,02610505,      98,559,,546
Saugus - Saugus High,02620505,      85,517,,515
Scituate - Scituate High School,02640505,     152,588,,574
Seekonk - Seekonk High,02650505,      64,573,,564
Sharon - Sharon High,02660505,     132,635,,653
Shawsheen Valley Regional Vocational Technical - Shawsheen Valley Vocational Technical High School,08710605,      81,522,,500
Shrewsbury - Shrewsbury Sr High,02710505,     315,583,,604
Silver Lake - Silver Lake Regional High,07600505,     162,568,,573
Sizer School: A North Central Charter Essential (District) - Sizer School: A North Central Charter Essential School,04740505,      20,537,,499
Somerset Berkley Regional School District - Somerset Berkley Regional High School,07630505,     127,551,,562
Somerville - Full Circle High School,02740510,       1,,,
Somerville - Somerville High,02740505,     140,526,,526
South Hadley - South Hadley High,02780505,      84,564,,577
South Middlesex Regional Vocational Technical - Joseph P Keefe Technical High School,08290605,      43,494,,478
South Shore Charter Public (District) - South Shore Charter Public School,04880550,      25,522,,492
South Shore Regional Vocational Technical - So Shore Vocational Technical High,08730605,      45,502,,512
Southbridge - Southbridge High School,02770515,      31,436,,433
Southeastern Regional Vocational Technical - Southeastern Regional Vocational Technical,08720605,     125,494,,483
Southern Berkshire - Mt Everett Regional,07650505,      17,582,,533
Southern Worcester County Regional Vocational Technical - Bay Path Regional Vocational Technical High School,08760605,      67,520,,512
Southwick-Tolland-Granville Regional School District - Southwick Regional School,07660505,      59,543,,521
Spencer-E Brookfield - David Prouty High,07670505,      16,529,,521
Springfield - Conservatory of the Arts,02810475,      14,431,,411
Springfield - Gateway to College at Holyoke Community College,02810575,       1,,,
Springfield - High School Of Commerce,02810510,      20,480,,483
Springfield - John J Duggan Middle,02810320,       4,,,
Springfield - Roger L. Putnam Vocational Technical Academy,02810620,      32,506,,505
Springfield - Springfield Central High,02810500,     135,504,,504
Springfield - Springfield High School of Science and Technology,02810530,      31,439,,429
Springfield - The Springfield Renaissance School an Expeditionary Learning School,02810205,      24,529,,494
Stoneham - Stoneham High,02840505,      86,563,,559
Stoughton - Stoughton High,02850505,     127,536,,520
Sturgis Charter Public (District) - Sturgis Charter Public School,04890505,     149,592,,590
Sutton - Sutton High School,02900510,      57,552,,543
Swampscott - Swampscott High,02910505,     105,571,,581
Swansea - Joseph Case High,02920505,      53,553,,534
TEC Connections Academy Commonwealth Virtual School District - TEC Connections Academy Commonwealth Virtual School,39020900,      61,572,,552
Tantasqua - Tantasqua Regional Sr High,07700505,     125,581,,602
Tantasqua - Tantasqua Regional Vocational,07700605,      27,512,,541
Taunton - Taunton Alternative High School,02930525,       1,,,
Taunton - Taunton High,02930505,     120,551,,531
Tewksbury - Tewksbury Memorial High,02950505,     113,561,,565
Tri-County Regional Vocational Technical - Tri-County Regional Vocational Technical,08780605,      78,517,,509
Triton - Triton Regional High School,07730505,      73,539,,550
Tyngsborough - Tyngsborough High School,03010505,      62,550,,568
Upper Cape Cod Regional Vocational Technical - Upper Cape Cod Vocational Technical,08790605,      46,523,,517
Uxbridge - Uxbridge High,03040505,      48,547,,546
Wachusett - Wachusett Regional High,07750505,     288,571,,573
Wakefield - Wakefield Memorial High,03050505,     147,554,,551
Walpole - Walpole High,03070505,     145,562,,547
Waltham - Waltham Sr High,03080505,     178,539,,542
Ware - Ware Junior/Senior High School,03090505,      30,517,,533
Wareham - Wareham Senior High,03100505,      48,508,,498
Watertown - Watertown High,03140505,      89,567,,583
Wayland - Wayland High School,03150505,     104,636,,661
Webster - Bartlett High School,03160505,      57,530,,526
Wellesley - Wellesley Sr High,03170505,     179,617,,628
West Boylston - West Boylston Junior/Senior High,03220505,      30,545,,526
West Bridgewater - West Bridgewater Junior/Senior,03230505,      58,549,,542
West Springfield - West Springfield High,03320505,     104,548,,556
Westborough - Westborough High,03210505,     148,604,,619
Westfield - Westfield High,03250505,     108,546,,530
Westfield - Westfield Technical Academy,03250605,      22,503,,486
Westford - Westford Academy,03260505,     224,622,,641
Weston - Weston High,03300505,      72,626,,645
Westport - Westport Junior/Senior High School,03310515,      19,581,,529
Westwood - Westwood High,03350505,     138,597,,620
Weymouth - Weymouth High School,03360505,     237,541,,537
Whitman-Hanson - Whitman Hanson Regional,07800505,     135,545,,518
Whittier Regional Vocational Technical - Whittier Regional Vocational,08850605,      79,502,,488
Wilmington - Wilmington High,03420505,     120,562,,554
Winchendon - Murdock High School,03430515,      31,501,,474
Winchester - Winchester High School,03440505,     214,626,,645
Winthrop - Winthrop High School,03460505,      73,544,,523
Woburn - Woburn High,03470505,     122,545,,555
Worcester - Burncoat Senior High,03480503,      54,483,,468
Worcester - Claremont Academy,03480350,      37,448,,439
Worcester - Doherty Memorial High,03480512,     141,517,,521
Worcester - North High,03480515,      55,466,,457
Worcester - South High Community,03480520,      82,499,,508
Worcester - University Pk Campus School,03480285,      15,485,,491
Worcester - Worcester Technical High,03480605,     113,512,,506
